"id";"question";"option_one";"option_two";"option_three";"option_four";"correct_answer";"certificate_type"
578;" Following are some of the testing risks";"A. Budget, Test environment";"B. Budget, Number of qualified test resources";"C. Budget, Number of qualified test resources, Test environment";"D. None of the above";2;
579;" Random Testing";"A. Program is tested randomly sampling the input.";"B. A black-box testing technique";"C. Both A. and B.";"D. None of the above.";1;
580;" Black-box testing technique is also called as structure based technique";"A. True";"B. False";"C";"D";2;
581;" Reliability, usablility, efficiency are";"A. Functional characteristics";"B. Non functional characteristics";"C. Both A. & B.";"D. None of the above";2;
582;" Test Plan";"A. Road map for testing";"B. Tells about the actual results and expected results";"C. Both a and b";"D. None of the above";1;
583;" User Acceptance Testing";"A. Same as Alpha Testing";"B. Same as Beta Testing";"C. Combination of Alpha and Beta Testing";"D. None of the above";3;
584;" Path coverage includes";"A. Statement coverage";"B. Condition coverage";"C. Decision coverage";"D. None of these";4;
585;" Which testing technique do you prefer for the following situations?
1. Severe time pressure
2. Inadequate specification";"A. Decision testing";"B. Error guessing";"C. Statement testing";"D. Exploratory testing";4;
586;" Recovery testing is a system test that forces the software to fail and verifies
that data recovery is properly performed. The following should be checked for
correctness
1. Re-initialization
2. Restart
3. Data Recovery
4. Check Point Mechanism";"A. 1 and 2";"B. 1, 2 and 3";"C. 1, 2, 3 and 4";"D. 2 and 4";3;
587;" Data flow analysis studies:";"A. Possible communications bottlenecks in a program.";"B. The rate of change of data values as a program executes.";"C. The use of data on paths through the code.";"D. The intrinsic complexity of the code.";3;
588;" Which of the following is NOT a white box technique?";"A. Statement testing";"B. Path testing";"C. Data flow testing";"D. State transition testing";4;
589;"Which one of the following describes the major benefit of verification early in
the life cycle?";"A. It allows the identification of changes in user requirements.";"B. It facilitates timely set up of the test environment.";"C. It reduces defect multiplication.";"D. It allows testers to become involved early in the project.";3;
590;" Which of the following is false?";"A. In a system two different failures may have different severities.";"B. A system is necessarily more reliable after debugging for the removal of a fault.";"C. A fault need not affect the reliability of a system.";"D. Undetected errors may lead to faults and eventually to incorrect behavior.";2;
591;" Alpha testing is:";"A. Post-release testing by end user representatives at the developerﾒs site.";"B. The first testing that is performed.";"C. Pre-release testing by end user representatives at the developerﾒs site.";"D. Pre-release testing by end user representatives at their sites.";3;
592;"We split testing into distinct stages primarily because:";"A. Each test stage has a different purpose.";"B. It is easier to manage testing in stages.";"C. We can run different tests in different environments.";"D. The more stages we have, the better the testing.";1;
593;" Which of the following would NOT normally form part of a test plan?";"A. Features to be tested";"B. Incident reports";"C. Risks";"D. Schedule";2;
594;"Which of the following is a form of functional testing?";"A. Boundary value analysis";"B. Usability testing";"C. Performance testing";"D. Security testing";1;
595;"Which one of the following statements about system testing is NOT true?";"A. System tests are often performed by independent teams.";"B. Functional testing is used more than structural testing.";"C. Faults found during system tests can be very expensive to fix.";"D. End-users should be involved in system tests.";4;
596;" Which of the following is not described in a unit test standard?";"A. Syntax testing";"B. Equivalence partitioning";"C. Stress testing";"D. Modified condition/decision coverage";3;
597;" Which of the following is likely to benefit most from the use of test tools
providing test capture and replay facilities?";"A. Regression testing";"B. Integration testing";"C. System testing";"D. User acceptance testing";1;
598;" Which of the following is false?";"A. Incidents should always be fixed.";"B. An incident occurs when expected and actual results differ.";"C. Incidents can be analysed to assist in test process improvement.";"D. An incident can be raised against documentation.";1;
599;" Static analysis is best described as:";"A. The analysis of batch programs.";"B. The reviewing of test plans.";"C. The analysis of program code.";"D. The use of black box testing.";3;
600;" Which of the following statements is NOT correct?";"A. A minimal test set that achieves 100% LCSAJ coverage will also achieve 100% branch
coverage.";"B. A minimal test set that achieves 100% path coverage will also achieve 100% statement
coverage.";"C. A minimal test set that achieves 100% path coverage will generally detect more faults
than one that achieves 100% statement coverage.";"D. A minimal test set that achieves 100% statement coverage will generally detect more
faults than one that achieves 100% branch coverage.";4;
601;"Which of the following statements about reviews is true?";"A. Reviews cannot be performed on user requirements specifications.";"B. Reviews are the least effective way of testing code.";"C. Reviews are unlikely to find faults in test plans.";"D. Reviews should be performed on specifications, code, and test plans.";4;
602;"What is the main difference between a walkthrough and an inspection?";"A. An inspection is lead by the author, whilst a walkthrough is lead by a trained moderator.";"B. An inspection has a trained leader, whilst a walkthrough has no leader.";"C. Authors are not present during inspections, whilst they are during walkthroughs.";"D. A walkthrough is lead by the author, whilst an inspection is lead by a trained moderator.";4;
603;" Which of these activities provides the biggest potential cost saving from the use
of CAST?";"A. Test management";"B. Test design";"C. Test execution";"D. Test planning";3;
604;" Which of the following is NOT true of incidents?";"A. Incident resolution is the responsibility of the author of the software under test.";"B. Incidents may be raised against user requirements.";"C. Incidents require investigation and/or correction.";"D. Incidents are raised when expected and actual results differ.";1;
605;" Which of the following characterizes the cost of faults?";"A. They are cheapest to find in the early development phases and the most expensive to fix
in the latest test phases.";"B. They are easiest to find during system testing but the most expensive to fix then.";"C. Faults are cheapest to find in the early development phases but the most expensive to
fix then.";"D. Although faults are most expensive to find during early development phases, they are
cheapest to fix then.";2;
606;"Which one of the following statements, about capture-replay tools, is NOT
correct?";"A. They are used to support multi-user testing.";"B. They are used to capture and animate user requirements.";"C. They are the most frequently purchased types of CAST tool.";"D. They capture aspects of user behaviour.";4;
607;" Which of the following is true of the V-model?";"A. It states that modules are tested against user requirements.";"B. It only models the testing phase.";"C. It specifies the test techniques to be used.";"D. It includes the verification of designs.";4;
608;"Error guessing:";"A. Supplements formal test design techniques.";"B. Can only be used in component, integration and system testing.";"C. Is only performed in user acceptance testing.";"D. Is not repeatable and should not be used.";1;
609;" In a system designed to work out the tax to be paid:
An employee has ﾣ4000 of salary tax free. The next ﾣ1500 is taxed at 10%
The next ﾣ28000 is taxed at 22%
Any further amount is taxed at 40%
Which of these groups of numbers would fall into the same equivalence class?";"A. ﾣ4800; ﾣ14000; ﾣ28000";"B. ﾣ5200; ﾣ5500; ﾣ28000";"C. ﾣ28001; ﾣ32000; ﾣ35000";"D. ﾣ5800; ﾣ28000; ﾣ32000";4;
610;" The oracle assumption:";"A. Is that there is some existing system against which test output may be checked.";"B. Is that the tester can routinely identify the correct outcome of a test.";"C. Is that the tester knows everything about the software under test.";"D. Is that the tests are reviewed by experienced testers.";2;
611;"In prioritising what to test, the most important objective is to:";"A. Find as many faults as possible.";"B. Test high risk areas.";"C. Obtain good test coverage.";"D. Test whatever is easiest to test.";2;
612;" The most important thing about early test design is that it:";"A. Makes test preparation easier.";"B. Means inspections are not required.";"C. Can prevent fault multiplication.";"D. Will find all faults.";3;
613;": A configuration management system would NOT normally provide:";"A. Linkage of customer requirements to version numbers.";"B. Facilities to compare test results with expected results.";"C. The precise differences in versions of software component source code.";"D. Restricted access to the source code library.";2;
614;" Integration testing in the small:";"A. Tests the individual components that have been developed.";"B. Tests interactions between modules or subsystems.";"C. Only uses components that form part of the live system.";"D. Tests interfaces to other systems.";2;
615;"Which of the following requirements is testable?";"A. The system shall be user friendly.";"B. The safety-critical parts of the system s
all contain 0 faults.";"C. The response time shall be less than one second for the specified design load.";"D. The system shall be built to be portable.";3;
616;" An important benefit of code inspections is that they:";"A. Enable the code to be tested before the execution environment is ready.";"B. Can be performed by the person who wrote the code.";"C. Can be performed by inexperienced staff.";"D. Are cheap to perform.";1;
617;"Test cases are designed during:";"A. Test recording.";"B. Test planning.";"C. Test configuration.";"D. Test specification.";4;
618;"A failure is:";"A. Found in the software; the result of an error.";"B. Departure from specified behaviour.";"C. An incorrect step, process or data definition in a computer program.";"D. A human action that produces an incorrect result.";2;
619;"How would you estimate the amount of re-testing likely to be required?";"A. Metrics from previous similar projects";"B. Discussions with the development team";"C. Time allocated for regression testing";"D. A. & B.";4;
620;" Given the following sets of test management terms (v-z), and activity
descriptions (1-5), which one of the following best pairs the two sets?
v - Test control
w - Test monitoring
x - Test estimation
y - Incident management
z - Configuration control
1 - Calculation of required test resources
2 - Maintenance of record of test results
3 - Re-allocation of resources when tests overrun
4 - Report on deviation from test plan
5 - Tracking of anomalous test results";"A. v-3,w-2,x-1,y-5,z-4";"B. v-2,w-5,x-1,y-4,z-3";"C. v-3,w-4,x-1,y-5,z-2";"D. v-2,w-1,x-4,y-3,z-5";3;
621;" In a system designed to work out the tax to be paid:
An employee has ﾣ4000 of salary tax free. The next ﾣ1500 is taxed at 10% The next ﾣ28000
is taxed at 22%
Any further amount is taxed at 40%
To the nearest whole pound, which of these is a valid Boundary Value Analysis test case?";"A. ﾣ1500";"B. ﾣ32001";"C. ﾣ33501";"D. ﾣ28000";3;
622;" Which of the following is NOT true of test coverage criteria?";"A. Test coverage criteria can be measured in terms of items exercised by a test suite.";"B. A measure of test coverage criteria is the percentage of user requirements covered.";"C. A measure of test coverage criteria is the percentage of faults found.";"D. Test coverage criteria are often used when specifying test completion criteria.";3;
623;"Analyze the following highly simplified procedure:
Ask: ""What type of ticket do you require, single or return?""
IF the customer wants ﾑreturnﾒ
Ask: ""What rate, Standard or Cheap-day?""
IF the customer replies ﾑCheap-dayﾒ
Say: ""That will be ﾣ11:20""
ELSE
Say: ""That will be ﾣ19:50""
ENDIF
ELSE
Say: ""That will be ﾣ9:75""
ENDIF
Now decide the minimum number of tests that are needed to ensure that all the questions
have been asked, all combinations have occurred and all replies given.";"A. 3";"B. 4";"C. 5";"D. 6";1;
624;"Which of the following should NOT normally be an objective for a test?";"A. To find faults in the software.";"B. To assess whether the software is ready for release.";"C. To demonstrate that the software doesnﾒt work.";"D. To prove that the software is correct.";4;
625;"Which of the following are disadvantages of capturing tests by recording the
actions of a manual tester?

i The script may be unstable when unexpected events occur.
ii Data for a number of similar tests is automatically stored separately from the script.
iii Expected results must be added to the captured script.
iv The captured script documents the exact inputs entered by the tester.
v When replaying a captured test, the tester may need to debug the script if it doesnﾒt play correctly.";"A. i, iii, iv, v.";"B. ii, iv and v.";"C. i, ii and iv.";"D. i and v.";1;
626;" Which of the following is a characteristic of good testing in any life cycle model?";"A. All document reviews involve the development team.";"B. Some, but not all, development activities have corresponding test activities.";"C. Each test level has test objectives specific to that level.";"D. Analysis and design of tests begins as soon as development is complete.";3;
627;"Q. 488: The process of designing test cases consists of the following activities:
i. Elaborate and describe test cases in detail by using test design techniques.
ii. Specify the order of test case execution.
iii. Analyse requirements and specifications to determine test conditions.
iv. Specify expected results.
According to the process of identifying and designing tests, what is the correct order of
these activities?";"A. iii, i, iv, ii.";"B. iii, iv, i, ii.";"C. iii, ii, i, iv.";"D. ii, iii, i, iv.";1;
628;" Which is the MOST important advantage of independence in testing?";"A. An independent tester may find defects more quickly than the person who wrote the
software.";"B. An independent tester may be more focused on showing how the software works than the
person who wrote the software.";"C. An independent tester may be more effective and efficient because they are less
familiar with the software than the person who wrote it.";"D. An independent tester may be more effective at finding defects missed by the person
who wrote the software.";4;
629;"Given the following specification, which of the following values for age are in
the SAME equivalence partition?
If you are less than 18, you are too young to be insured. Between 18 and 30 inclusive, you
will receive a 20% discount. Anyone over 30 is not eligible for a discount.";"A. 17, 18, 19.";"B. 29, 30, 31.";"C. 18, 29, 30.";"D. 17, 29, 31.";3;
630;" What is the difference between a project risk and a product risk?";"A. Project risks are potential failure areas in the software or system; product risks are risks
that surround the projectﾒs capability to deliver its objectives.";"B. Project risks are the risks that surround the projectﾒs capability to deliver its objectives;
product risks are potential failure areas in the software or system.";"C. Project risks are typically related to supplier issues, organizational factors and technical
issues; product risks are typically related to skill and staff shortages.";"D. Project risks are risks that delivered software will not work; product risks are typically
related to supplier issues, organizational factors and technical issues.";2;
631;" During which fundamental test process activity do we determine if MORE tests
are needed?";"A Test implementation and execution.";"B Evaluating test exit criteria.";"C Test analysis and design.";"D Test planning and control.";2;
632;"What is the MAIN purpose of a Master Test Plan?";"A. To communicate how incidents will be managed.";"B. To communicate how testing will be performed.";"C. To produce a test schedule.";"D. To produce a work breakdown structure.";2;
633;" Which of the following defines the sequence in which tests should be executed?";"A. Test plan.";"B. Test procedure specification.";"C. Test case specification.";"D. Test design specification.";2;
634;" Which of the following is a major task of test planning?";"A. Determining the test approach.";"B. Preparing test specifications.";"C. Evaluating exit criteria and reporting.";"D. Measuring and analyzing results.";1;
635;"What is the main purpose of impact analysis for testers?";"A. To determine the programming effort needed to make the changes.";"B. To determine what proportion of the changes need to be tested.";"C. To determine how much the planned changes will affect users.";"D. To determine how the existing system may be affected by changes.";4;
636;" In a system designed to work out the tax to be paid:
An employee has ﾣ4000 of salary tax free.
The next ﾣ1500 is taxed at 10%.
The next ﾣ28000 after that is taxed at 22%.
Any further amount is taxed at 40%.
To the nearest whole pound, which of these is a valid Boundary Value Analysis test case?";"A. ﾣ28000.";"B. ﾣ33501.";"C. ﾣ32001.";"D. ﾣ1500.";2;
637;" Which of the following tools is most likely to contain a comparator?";"A. Dynamic Analysis tool.";"B. Test Execution tool.";"C. Static Analysis tool.";"D. Security tool.";2;
638;" When software reliability measures are used to determine when to stop testing,
the best types of test cases to use are those that";"A. Exercise system functions in proportion to the frequency they will be used in the
released product";"B. Push the system beyond its designed operation limits and are likely to make the system
fail";"C. Exercise unusual and obscure scenarios that may not have been considered in design";"D. Exercise the most complicated and the most error-prone portions of the system";1;
639;"For which of the following activities in the fundamental test process would an
incident management tool be most useful?";"a. Test planning and control";"b. Test analysis and design";"c. Test implementation and execution";"d. Evaluating exit criteria and reporting";3;
640;"Which of the following principles should be followed when introducing a test tool
into an organisation?
(i) Assessing organisational maturity to establish whether a tool will provide
expected benefits.
(ii) Requiring a quick payback on the initial investment.
(iii) Including a requirement for the tool to be easy to use without having to train
unskilled testers.
(iv) Identifying and agreeing requirements before evaluating test tools.";"a. (i) and (ii)";"b. (i) and (iv)";"c. (ii) and (iii)";"d. (iii) and (iv)";2;
641;"Which of the following defects is most likely to be found by a test harness?";"a. Variance from programming standards.";"b. A defect in middleware.";"c. Memory leaks.";"d. Regression defects.";2;
642;"How can test execution tools be of most benefit during exploratory testing?";"a. They can record user actions so that defects are easier to recreate.";"b. They can be used to perform the regression aspects of exploratory testing.";"c. They can help to mitigate the risk of low test coverage.";"d. They can use data-driven tests to increase the amount of exploratory testing
performed.";1;
643;"Which of the following types of test tool are most likely to include traceability
functions?
(i) Performance testing tool
(ii) Requirements management tool
(iii) Configuration management tool
(iv) Static analysis tool";"
a. (i) and (ii)";"b. (i) and (iv)";"c. (ii) and (iii)";"d. (iii) and (iv)";3;
;"A test management tool is most likely to integrate with which of the following
tools?";"a. Performance testing tool";"b. Test data preparation tool";"c. Static analysis tool";"d. Requirements management tool";4;
;"Which of the following pairs of test tools are likely to be most useful during the
test analysis and design stage of the fundamental test process?
(i) Test execution tool
(ii) Test data preparation tool
(iii) Test management tool
(iv) Requirements management tool";"a. (i) and (ii)";"b. (i) and (iv)";"c. (ii) and (iii)";"d. (iii) and (iv)";4;
;"Which of the following is most likely to cause failure in the implementation of a
test tool?";"
a. Underestimating the demand for a tool.";"b. The purchase price of the tool.";"c. No agreed requirements for the tool.";"d. The cost of resources to implement and maintain the tool.";3;
;"What benefits do static analysis tools have over test execution tools?";"a. Static analysis tools find defects earlier in the life cycle.";"b. Static analysis tools can be used before code is written.";"c. Static analysis tools test that the delivered code meets business requirements.";"d. Static analysis tools are particularly effective for regression testing.";1;
